,start_time,end_time,line,value,duration,tracks,laugh_start,laugh_end,start_sec,end_sec
154,"00:08:48,319","00:08:49,988","""Life is not a rehearsal.""",1,1.2300000000000182,"#98, ","531.42, ","532.65, ",528.32,529.99
155,"00:08:51,614","00:08:54,034",Get your old ass-- I ain't seen you lift shit.,0,0.0,,,,531.61,534.03
156,"00:08:57,203","00:09:00,457","And you know, other women come to the gym and they new, you know what I mean?",0,0.0,,,,537.2,540.46
157,"00:09:00,540","00:09:02,459",Here come one of them hater old women.,0,0.0,,,,540.54,542.46
158,"00:09:02,542","00:09:05,295","Woman talking about, ""Girl, that's a nice looking old man right there.""",0,0.0,,,,542.54,545.29
159,"00:09:05,378","00:09:06,588","And another woman walk up and say,",0,0.0,,,,545.38,546.59
160,"00:09:06,671","00:09:08,923","""Girl, you know his dick died two years ago?",1,0.9800000000000182,"#99, ","549.74, ","550.72, ",546.67,548.92
161,"00:09:10,175","00:09:11,760",Yep. I read it in the paper.,0,0.0,,,,550.17,551.76
162,"00:09:13,344","00:09:15,346",They said he beat it to death.,1,0.6399999999999864,"#100, ","557.25, ","557.89, ",553.34,555.35
163,"00:09:17,599","00:09:20,602","That's what they saying. I don't know. That's what I'm hearing.""",2,3.840000000000032,"#101, #102, ","559.52, 563.37, ","560.76, 565.97, ",557.6,560.6
164,"00:09:23,813","00:09:25,690",[chuckling],0,0.0,,,,563.81,565.69
165,"00:09:26,316","00:09:27,692","Yeah, shit.",0,0.0,,,,566.32,567.69
166,"00:09:27,942","00:09:29,736","And, ladies, I know y'all--",0,0.0,,,,567.94,569.74
167,"00:09:29,819","00:09:32,530",Y'all don't even understand. Y'all pussy gonna live forever.,0,0.0,,,,569.82,572.53
168,"00:09:33,823","00:09:36,409","Long live-- Yeah, the pussy gonna live forever.",0,0.0,,,,573.82,576.41
169,"00:09:36,493","00:09:38,870",I seen it on <i>60 Minutes.</i> They said--,2,3.1400000000001,"#103, #104, ","577.63, 578.8, ","578.35, 581.22, ",576.49,578.87
170,"00:09:39,579","00:09:41,956","Yeah, they said your pussy gonna live forever.",1,0.5199999999999818,"#105, ","583.09, ","583.61, ",579.58,581.96
