,start_time,end_time,line,value,duration,tracks,laugh_start,laugh_end,start_sec,end_sec
83,"00:04:01,199","00:04:02,909","""Well, do you enjoy doing it?""",0,0.0,,,,241.2,242.91
84,"00:04:02,993","00:04:03,994",Great.,1,2.359999999999985,"#49, ","243.65, ","246.01, ",242.99,243.99
85,"00:04:04,077","00:04:05,120",Good.,0,0.0,,,,244.08,245.12
86,"00:04:05,203","00:04:06,872","Isn't it fun, yeah, just keep doing it.",1,0.8899999999999864,"#50, ","246.5, ","247.39, ",245.2,246.87
87,"00:04:06,955","00:04:08,290","Just keep it doing, you know,",0,0.0,,,,246.96,248.29
88,"00:04:08,373","00:04:09,624","and, um...",0,0.0,,,,248.37,249.62
89,"00:04:09,708","00:04:11,042","if you don't enjoy it,",0,0.0,,,,249.71,251.04
90,"00:04:11,126","00:04:12,461","please, you know, stop.",1,0.7400000000000091,"#51, ","252.28, ","253.02, ",251.13,252.46
91,"00:04:12,544","00:04:14,796",But no one can ever take that away from you.,0,0.0,,,,252.54,254.8
92,"00:04:14,880","00:04:17,257","You get to do it, and it's a privilege.",1,2.7200000000000273,"#52, ","256.58, ","259.3, ",254.88,257.26
93,"00:04:17,340","00:04:18,592","And just,",0,0.0,,,,257.34,258.59
94,"00:04:19,176","00:04:20,302","you know,",0,0.0,,,,259.18,260.3
95,"00:04:20,927","00:04:23,406","pretty soon you've been doing it a long time, you go, whoa this,",0,0.0,,,,260.93,263.41
96,"00:04:23,430","00:04:24,473",this is what I do.,0,0.0,,,,263.43,264.47
97,"00:04:24,556","00:04:26,391",This is what I've done with my life.,1,1.410000000000025,"#53, ","265.39, ","266.8, ",264.56,266.39
98,"00:04:26,475","00:04:27,476",Best of luck.,0,0.0,,,,266.48,267.48
99,"00:04:30,020","00:04:31,521",Which is profoundly true.,1,1.6400000000000432,"#54, ","270.9, ","272.54, ",270.02,271.52
100,"00:04:31,605","00:04:33,356",Is that what a relationship is?,0,0.0,,,,271.61,273.36
101,"00:04:33,440","00:04:36,651",Is it just continuing to show up without any guarantee?,0,0.0,,,,273.44,276.65
102,"00:04:36,735","00:04:38,445",I can do that!,1,1.7300000000000182,"#55, ","276.87, ","278.6, ",276.74,278.44
103,"00:04:38,528","00:04:40,822","I didn't realize there'd be ambiguity,",0,0.0,,,,278.53,280.82
104,"00:04:40,906","00:04:42,532","doubt, confusion,",0,0.0,,,,280.91,282.53
105,"00:04:42,616","00:04:44,493",or at least the amount that there is in a job.,1,0.5799999999999841,"#56, ","283.79, ","284.37, ",282.62,284.49
106,"00:04:44,576","00:04:45,827","'Cause people always say,",0,0.0,,,,284.58,285.83
107,"00:04:45,911","00:04:48,079","once you've been doing something a long time, they say,",0,0.0,,,,285.91,288.08
108,"00:04:48,914","00:04:51,708","""I bet you always knew you wanted to be a comedian.""",0,0.0,,,,288.91,291.71
109,"00:04:51,792","00:04:55,128",I did not want to do this show today.,2,2.990000000000009,"#57, #58, ","293.15, 294.81, ","294.36, 296.59, ",291.79,295.13
110,"00:04:57,672","00:04:58,924",You guys know that.,1,1.7699999999999818,"#59, ","297.82, ","299.59, ",297.67,298.92
111,"00:04:59,007","00:05:00,008","And, uh...",0,0.0,,,,299.01,300.01
112,"00:05:00,091","00:05:01,843","that means me and my boo-boo,",0,0.0,,,,300.09,301.84
113,"00:05:01,927","00:05:03,887","me and my snuggle man,",0,0.0,,,,301.93,303.89
114,"00:05:03,970","00:05:07,766","me and my Mr. Handsome Face Turkey Butt,",1,4.180000000000007,"#60, ","307.49, ","311.67, ",303.97,307.77
115,"00:05:07,849","00:05:09,142","have a chance,",0,0.0,,,,307.85,309.14
116,"00:05:09,226","00:05:10,685",because we've had our high times.,0,0.0,,,,309.23,310.69
117,"00:05:10,769","00:05:13,230","Oh, God, when you're starting out real cocky.",0,0.0,,,,310.77,313.23
118,"00:05:13,313","00:05:15,774","Oh, our kissing is so hot, it should be on TV.",1,1.75,"#61, ","314.71, ","316.46, ",313.31,315.77
119,"00:05:15,857","00:05:17,484","La, la, la, la...",1,4.009999999999991,"#62, ","316.95, ","320.96, ",315.86,317.48
120,"00:05:18,485","00:05:20,237",And then you get the craftsmanship stage.,0,0.0,,,,318.49,320.24
121,"00:05:20,320","00:05:21,822",That's when things take more effort.,0,0.0,,,,320.32,321.82
122,"00:05:21,905","00:05:23,174","That's when I get a poor attitude,",0,0.0,,,,321.9,323.17
123,"00:05:23,198","00:05:24,032",like in this job.,0,0.0,,,,323.2,324.03
124,"00:05:24,115","00:05:28,245","I say, ""I'd like to do an invulnerable impersonation of my mother,",2,1.9799999999999613,"#63, #64, ","324.35, 327.92, ","325.4, 328.85, ",324.12,328.25
125,"00:05:28,328","00:05:31,665","but I don't wanna do it in front of a sports bar,",0,0.0,,,,328.33,331.67
126,"00:05:31,748","00:05:34,251",where the Raisin Bran Bowl is playing,1,1.9399999999999977,"#65, ","332.13, ","334.07, ",331.75,334.25
127,"00:05:34,334","00:05:35,710","and nobody's listening.""",1,1.900000000000034,"#66, ","335.07, ","336.97, ",334.33,335.71
128,"00:05:36,878","00:05:40,006","Well, Princess Daffodil, that would be the whole fucking thing,",0,0.0,,,,336.88,340.01
129,"00:05:40,090","00:05:42,842",so why don't you learn to project above nine television sets,1,0.9399999999999977,"#67, ","340.17, ","341.11, ",340.09,342.84
130,"00:05:42,926","00:05:44,177",and make some friends?,1,1.490000000000009,"#68, ","344.49, ","345.98, ",342.93,344.18
131,"00:05:45,845","00:05:47,222","And if you're lucky in life,",0,0.0,,,,345.85,347.22
132,"00:05:47,305","00:05:49,015","you get to have those dark times,",1,2.7600000000000477,"#69, ","347.59, ","350.35, ",347.31,349.01
133,"00:05:49,099","00:05:52,811","the relationship equivalent of two weeks in Laughlin, Nevada.",1,4.090000000000032,"#70, ","351.77, ","355.86, ",349.1,352.81
134,"00:05:52,894","00:05:54,646",Bombing three shows a night,0,0.0,,,,352.89,354.65
135,"00:05:54,729","00:05:56,147","for hundreds of silent,",0,0.0,,,,354.73,356.15
136,"00:05:56,231","00:05:58,650",angry jet skiers.,1,3.6899999999999977,"#71, ","356.35, ","360.04, ",356.23,358.65
137,"00:05:58,733","00:06:00,360","Laughing, crying,",0,0.0,,,,358.73,360.36
138,"00:06:00,443","00:06:02,904","thinking, this is not at all what I wanted!",1,2.159999999999968,"#72, ","362.67, ","364.83, ",360.44,362.9
139,"00:06:04,114","00:06:06,700",But there's always one strawberry toaster pastry left,0,0.0,,,,364.11,366.7
140,"00:06:06,783","00:06:08,368",in the hallway vending machine.,1,2.150000000000034,"#73, ","367.76, ","369.91, ",366.78,368.37
141,"00:06:08,451","00:06:10,036","And you break it,",0,0.0,,,,368.45,370.04
142,"00:06:10,120","00:06:12,247",and share it with the opener,1,2.0500000000000114,"#74, ","371.27, ","373.32, ",370.12,372.25
143,"00:06:12,872","00:06:14,165",and the headliner.,0,0.0,,,,372.87,374.17
144,"00:06:14,249","00:06:16,293",And you make it through another show.,1,1.3000000000000114,"#75, ","374.9, ","376.2, ",374.25,376.29
145,"00:06:17,294","00:06:19,087","And that way you get days like today,",0,0.0,,,,377.29,379.09
146,"00:06:19,170","00:06:21,881",where it all seems like it was meant to be.,1,2.829999999999984,"#76, ","381.38, ","384.21, ",379.17,381.88
147,"00:06:22,507","00:06:24,884",Happy anniversary to show business audience,0,0.0,,,,382.51,384.88
148,"00:06:24,968","00:06:26,761",of over 20 years.,0,0.0,,,,384.97,386.76
